('special problems for advanced undergraduates', 'bus 400')
('general management and strategy', 'bus 401')
('governmental and social influences on business', 'bus 404')
('taxation of corporations and partnerships', 'bus 417')
('listening to the customer', 'bus 418')
('marketing analytics and business intelligence', 'bus 421')
('accounting ethics', 'bus 424')
('auditing', 'bus 425')
('internship/cooperative education', 'bus 430')
('security analysis and portfolio management', 'bus 431')
('international finance', 'bus 433')
('real estate finance', 'bus 434')
('advanced corporate finance', 'bus 438')
('fixed income securities market', 'bus 439')
('introduction to futures and options', 'bus 442')
('ethics and behavior finance', 'bus 445')
('current topics in marketing', 'bus 450')
('digital and new media marketing', 'bus 453')
('marketing projects', 'bus 454')
('marketing strategy', 'bus 455')
('solving big world challenges', 'bus 458')
('senior project i', 'bus 461')
('senior project ii', 'bus 462')
('senior project: low income taxpayer clinic', 'bus 463')
('applied senior project seminar', 'bus 464')
('building a startup skill set', 'bus 488')
('negotiation', 'bus 489')
('directed topics in information systems', 'bus 498')
('data communications and networking', 'bus 499')
('international supply chains', 'bus s304 css')
('introduction to the chemical sciences', 'chem 101')
('world of chemistry', 'chem 110')
('general chemistry for physical science and engineering i', 'chem 124')
('general chemistry for physical science and engineering ii', 'chem 125')
('general chemistry for agriculture and life science i', 'chem 127')
('general chemistry for agriculture and life science ii', 'chem 128')
('general chemistry for agriculture and life science iii', 'chem 129')
('undergraduate research', 'chem 201')
('organic chemistry i', 'chem 216')
('organic chemistry iii', 'chem 218')
('organic chemistry laboratory for life sciences iii', 'chem 223')
('undergraduate seminar ii', 'chem 303')
('survey of organic chemistry', 'chem 312')
('survey of biochemistry and biotechnology', 'chem 313')
('organic chemistry laboratory iii', 'chem 324')
('quantitative analysis', 'chem 331')
('chemical and biological warfare', 'chem 349')
('physical chemistry i', 'chem 351')
('physical chemistry iii', 'chem 353')
('physical chemistry iii lab', 'chem 357')
('biochemical principles', 'chem 371')
('metabolism', 'chem 372')
('special problems for advanced undergraduates', 'chem 400')
('advanced undergraduate research', 'chem 401')
('undergraduate seminar iii: senior project', 'chem 403')
('polymers & coatings i', 'chem 444')
('polymers and coatings laboratory i', 'chem 447')
('senior project report', 'chem 461')
('honors research', 'chem 463')
('college teaching practicum', 'chem 465')
('learning assistant seminar', 'chem 466')
('protein techniques laboratory', 'chem 474')
('inorganic chemistry', 'chem 481')
('inorganic chemistry laboratory', 'chem 484')
('cooperative education experience', 'chem 485')
('cooperative education experience', 'chem 495')
('special problems for graduate students', 'chem 500')
('polymer physical chemistry and analysis', 'chem 544')
('polymer characterization and analysis laboratory', 'chem 547')
('graduate seminar in polymers and coatings', 'chem 590')
('graduate project', 'chem 598')
('graduate thesis', 'chem 599')
('orientation to the child development major', 'cd 102')
('observing and interacting with children', 'cd 131')
('special problems', 'cd 200')
('preschool laboratory', 'cd 230')
('family psychology', 'cd 254')
('developmental psychology', 'cd 256')
('developmental science technology lab', 'cd 302')
('infant and toddler development', 'cd 304')
('early and middle childhood development', 'cd 305')
('adolescence', 'cd 306')
('behavioral disorders in childhood', 'cd 356')
('special problems for advanced undergraduates', 'cd 400')
('research internship', 'cd 448')
('advanced research internship', 'cd 449')
('perspectives on child and adolescent development', 'cd 450')
('supervised fieldwork internship', 'cd 453')
('advanced supervised fieldwork internship', 'cd 454')
('child abuse and neglect', 'cd 460')
('senior project seminar', 'cd 461')
('senior project', 'cd 462')
('elementary mandarin chinese i', 'chin 101')
('intermediate mandarin chinese i', 'chin 201')
('basic graphic skills', 'crp 201')
('introduction to urban planning', 'crp 212')
('population housing and economic applications', 'crp 213')
('representing the city', 'crp 216')
('introduction to environmental planning', 'crp 336')
('digital cities', 'crp 338')
('special problems for advanced undergraduates', 'crp 400')
('planning internship', 'crp 409')
('community planning laboratory i', 'crp 410')
('professional planning practice', 'crp 430')
('transportation theory', 'crp 435')
('housing and planning', 'crp 442')
('gis applications in planning', 'crp 457')
('senior project i', 'crp 461')
('senior project ii', 'crp 462')
('individual study', 'crp 500')
('foundations of cities and planning', 'crp 501')
('sustainable communities', 'crp 504')
('planning theory', 'crp 510')
('policy development', 'crp 518')
('community and regional planning studio i', 'crp 552')
('professional project', 'crp 596')
('thesis', 'crp 599')
('introduction to civil engineering', 'ce 111')
('computer aided drafting in civil engineering', 'ce 113')
('special problems', 'ce 200')
('mechanics of materials i', 'ce 204')
('mechanics of materials ii', 'ce 207')
('mechanics of materials', 'ce 208')
('introductory experiments in transportation engineering', 'ce 222')
('programming applications in engineering', 'ce 251')
('civil engineering materials', 'ce 259')
('fundamentals of transportation engineering', 'ce 321')
('fundamentals of transportation engineering laboratory', 'ce 322')
('water resources engineering', 'ce 336')
('hydraulics laboratory', 'ce 337')
('structural engineering', 'ce 352')
('reinforced concrete design', 'ce 355')
('structural steel design', 'ce 356')
('construction management and project planning', 'ce 371')
('geotechnical engineering', 'ce 381')
('geotechnical engineering laboratory', 'ce 382')
('special problems', 'ce 400')
('civil engineering design competition', 'ce 403')
('applied finite element analysis', 'ce 404')
('structural analysis', 'ce 406')
('advanced civil computer-aided site design', 'ce 413')
('advanced building information modeling for civil engineering', 'ce 415')
('traffic engineering', 'ce 421')
('highway pavement designs', 'ce 429')
('open channel hydraulics', 'ce 433')
('engineering hydrology', 'ce 435')
('design of timber structures', 'ce 455')
('civil engineering professional practice', 'ce 465')
('selected advanced topics', 'ce 470')
('civil infrastructure and building systems', 'ce 475')
('analysis and design of shallow foundations', 'ce 481')
('engineering risk analysis', 'ce 488')
('cooperative education experience', 'ce 493')
('cooperative education experience', 'ce 495')
('individual study', 'ce 500')
('advanced matrix analysis of structures', 'ce 501')
('continuum mechanics and elasticity', 'ce 511')
('transportation systems planning', 'ce 523')
('transportation economics and analysis', 'ce 528')
('groundwater contamination', 'ce 537')
('advanced civil engineering materials laboratory', 'ce 555')
('graduate seminar i', 'ce 591')
('comprehensive examination', 'ce 596')
('design project (thesis)', 'ce 599')
('college success seminar', 'cla 100')
('public speaking', 'coms 101')
('principles of oral communication', 'coms 102')
('argument and advocacy', 'coms 126')
('advanced public speaking', 'coms 201')
('performance of literature', 'coms 208')
('interpersonal communication', 'coms 212')
('organizational communication', 'coms 213')
('small group communication', 'coms 217')
('media self and society', 'coms 218')
('forensic activity', 'coms 250')
('group performance of literature', 'coms 308')
('communication theory', 'coms 311')
('communication research methods', 'coms 312')
('intercultural communication', 'coms 316')
('persuasion', 'coms 322')
('classical rhetorical theory', 'coms 330')
('rhetorical criticism', 'coms 332')
('advanced forensic activity', 'coms 350')
('speech and debate team', 'coms 351')
('media criticism', 'coms 385')
('special problems for advanced undergraduates', 'coms 400')
('video games & society', 'coms 404')
('health communication', 'coms 418')
('nonverbal communication', 'coms 420')
('american political rhetoric', 'coms 435')
('internship: communication studies', 'coms 450')
('solving big world challenges', 'coms 458')
('undergraduate seminar', 'coms 460')
('senior project', 'coms 461')
('computer engineering orientation', 'cpe 100')
('fundamentals of computer science', 'cpe 101')
('introduction to computing', 'cpe 123')
('digital design', 'cpe 133')
('special problems for undergraduates', 'cpe 200')
('data structures', 'cpe 202')
('project-based object-oriented programming and design', 'cpe 203')
('computer design and assembly language programming', 'cpe 233')
('computer architecture', 'cpe 315')
('microcontrollers and embedded applications', 'cpe 316')
('introduction to computer security', 'cpe 321')
('digital signals and systems', 'cpe 327')
('capstone i', 'cpe 350')
('systems programming', 'cpe 357')
('digital signals and systems laboratory', 'cpe 367')
('special problems for undergraduates', 'cpe 400')
('applied parallel computing', 'cpe 419')
('computer vision', 'cpe 428')
('real time embedded systems', 'cpe 442')
('introduction to operating systems', 'cpe 453')
('senior project i', 'cpe 461')
('senior project ii', 'cpe 462')
('introduction to computer networks', 'cpe 464')
('cooperative education experience', 'cpe 493')
('cooperative education experience', 'cpe 494')
('cooperative education experience', 'cpe 495')
('special problems for undergraduates', 'csc 200')
('introduction to computer organization', 'csc 225')
('programming for engineering students', 'csc 231')
('computer programming for scientists and engineers', 'csc 232')
('discrete structures', 'csc 248')
('professional responsibilities', 'csc 300')
('individual software design and development', 'csc 305')
('introduction to software engineering', 'csc 307')
('practical computer security for everyone', 'csc 320')
('design and analysis of algorithms', 'csc 349')
('introduction to database systems', 'csc 365')
('introduction to distributed computing', 'csc 369')
('game design', 'csc 371')
('special problems', 'csc 400')
('software requirements engineering', 'csc 402')
('programming languages', 'csc 430')
('theory of computation i', 'csc 445')
('bioinformatics algorithms', 'csc 448')
('knowledge discovery from data', 'csc 466')
('introduction to computer graphics', 'csc 471')
('artificial intelligence', 'csc 480')
('speech and language processing', 'csc 482')
('user-centered interface design and development', 'csc 484')
('human-computer interaction theory and design', 'csc 486')
('senior project i', 'csc 491')
('senior project ii', 'csc 492')
('cooperative education experience', 'csc 493')
('cooperative education experience', 'csc 494')
('cooperative education experience', 'csc 495')
('research senior project i', 'csc 497')
('research senior project ii', 'csc 498')
('directed study', 'csc 500')
('system security', 'csc 524')
('computer graphics', 'csc 572')
('artificial intelligence', 'csc 580')
('thesis seminar', 'csc 590')
('cooperative education experience', 'csc 593')
('cooperative education experience', 'csc 594')
('cooperative education experience', 'csc 595')
('research in computer science i', 'csc 596')
('research in computer science ii', 'csc 597')
('thesis', 'csc 599')
('introduction to construction management', 'cm 102')
('construction materials and assemblies', 'cm 113')
('construction materials and assemblies lab', 'cm 114')
('fundamentals of construction management', 'cm 115')
('residential construction management', 'cm 214')
('evaluation of cost alternatives', 'cm 232')
('construction surveying', 'cm 239')
('building information modeling', 'cm 280')
('construction means and methods', 'cm 310')
('commercial construction management', 'cm 313')
('heavy civil construction management', 'cm 314')
('sustainability and the built environment', 'cm 317')
('housing and communities', 'cm 318')
('construction law', 'cm 334')
('construction accounting', 'cm 335')
('construction management and project planning', 'cm 371')
('special problems for advanced undergraduates', 'cm 400')
('specialty contracting construction management', 'cm 411')
('jobsite construction management', 'cm 413')
('emerging trends', 'cm 421')
('professional preparation', 'cm 422')
('sustainability and environment', 'cm 425')
('management of the construction firm', 'cm 443')
('integrated project design and program management', 'cm 450')
('senior project methodology', 'cm 460')
('senior project i', 'cm 461')
('senior project ii', 'cm 462')
('real property development principles', 'cm 475')
('cooperative education experience', 'cm 485')
('cooperative education experience', 'cm 495')
('general dairy husbandry', 'dsci 230')
('general dairy manufacturing', 'dsci 231')
('dairy cattle nutrition', 'dsci 301')
('lactation physiology', 'dsci 321')
('artificial insemination and embryo biotechnology', 'dsci 330')
('physical and chemical properties of dairy products', 'dsci 401')
('individual study in dairy science', 'dsci 500')
('graduate internship in dairy science', 'dsci 539')
('thesis in dairy science', 'dsci 599')
('pilates and conditioning fundamentals', 'danc 130')
('beginning ballet', 'danc 131')
('beginning modern dance', 'danc 132')
('beginning jazz dance', 'danc 133')
('dance appreciation', 'danc 221')
('intermediate ballet', 'danc 231')
('intermediate modern dance', 'danc 232')
('advanced ballet and repertory', 'danc 331')
('contemporary dance repertory', 'danc 332')
('choreography/workshop in dance concert preparation', 'danc 345')
('special problems', 'danc 400')
('introduction to data science', 'data 301')
('data science process and ethics', 'data 401')
('mathematical foundations of data science', 'data 402')
('data science projects laboratory', 'data 403')
('data science seminar', 'data 472')
('race culture and politics in the united states', 'es 112')
('special problems', 'es 200')
('global origins of race in the u.s.', 'es 252')
('introduction to american indian studies', 'es 253')
('introduction to african american studies', 'es 254')
('introduction to latino/a/x studies', 'es 255')
('introduction to asian american studies', 'es 256')
('latina/o literature of the united states', 'es 301')
('fire and society', 'es 308')
('native americans in popular culture', 'es 321')
('asian americans in popular culture', 'es 322')
('latina/os in popular culture', 'es 323')
('the chinese american experience', 'es 330')
('cultural production and ethnicity', 'es 340')
('queer ethnic studies', 'es 345')
('gender race culture science & technology', 'es 350')
('ethnicity and the land', 'es 360')
('research methodology in comparative ethnic studies', 'es 390')
('special problems for advanced undergraduates', 'es 400')
('senior project', 'es 461')
('introduction to earth science', 'ersc 144')
('soil erosion and water conservation', 'ersc 303')
('geomorphology', 'ersc 423')
('survey of economics', 'econ 201')
('microeconomics', 'econ 221')
('macroeconomics', 'econ 222')
('economics of poverty discrimination and immigration', 'econ 303')
('comparative economic systems', 'econ 304')
('intermediate microeconomics i', 'econ 311')
('intermediate microeconomics ii', 'econ 312')
('intermediate macroeconomics', 'econ 313')
('money banking and credit', 'econ 337')
('econometrics', 'econ 339')
('programming for economics and analytics', 'econ 395')
('probability models for economic decisions', 'econ 409')
('environmental economics', 'econ 431')
('advanced econometrics', 'econ 440')
('research methodology in applied economics', 'econ 460')
('applied senior project', 'econ 464')
("children's learning and development in educational settings", 'educ 207')
('historical philosophical and social foundations of public education', 'educ 300')
('special problems for undergraduates', 'educ 400')
('access to learning in a pluralistic society', 'educ 412')
('curriculum and inquiry in public schools', 'educ 414')
('culturally responsive fieldwork in diverse classrooms', 'educ 419')
('theories methods and assessment of first and second language acquisition in schools', 'educ 427')
('foundations of k-8 literacy teaching and learning in schools with diverse populations', 'educ 428')
('learning to teach k-8 literacy in schools with diverse populations', 'educ 429')
('foundations of bilingual education', 'educ 433')
('learning to teach k-8 mathematics with diverse populations', 'educ 435')
('learning to teach k-8 science with diverse populations', 'educ 436')
('multiple subject clinical practice i', 'educ 438')
('multiple subject clinical practice seminar i', 'educ 439')
('elementary field experience in general and/or special education', 'educ 442')
('special education student teaching', 'educ 449')
('multiple subject clinical practice iii', 'educ 456')
('multiple subject clinical practice seminar iii', 'educ 457')
('clinical practice i', 'educ 460')
('clinical practice ii', 'educ 469')
('individual study', 'educ 500')
('education organization and management', 'educ 512')
('education planning and decision making', 'educ 513')
('administrative services fieldwork', 'educ 518')
('advanced field experiences in education', 'educ 532')
('reading and language arts instruction in special education', 'educ 546')
('introduction to the counseling profession', 'educ 555')
('group counseling', 'educ 561')
('student development - higher education', 'educ 562')
('field experience counseling', 'educ 573')
('introduction to inquiry in education', 'educ 586')
('educational foundations and current issues', 'educ 587')
('education culture and learning', 'educ 588')
('introduction to electrical engineering', 'ee 111')
('electric circuit analysis i', 'ee 113')
('electronics manufacturing and circuit analysis laboratory', 'ee 143')
('introduction to electrical engineering laboratory', 'ee 151')
('special problems', 'ee 200')
('electric circuit theory', 'ee 201')
('electric circuit analysis ii', 'ee 211')
